UUN,Age,Region,Gender,Nationality,Programme,Year,Status,Route,Year 1 Courses,Year 2 Courses,Year 3 Courses
S2465512,35,England,Male,United Kingdom,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','GLHE11080 Migration and Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",
S2613385,26,Nigeria,Female,Nigeria,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2602220,33,Bangladesh,Male,Bangladesh,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2238311,34,Scotland,Female,Sri Lanka,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','GLHE11087 Introduction to Global Mental Health','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'","'PUHR11087 Governance and financial management for public health projects','PUHR11074 Integrating public health practice','PUHR11067 Intermediate Epidemiology','PUHR11079 Leadership and Management in Public Health','PUHR11069 Systematic Reviews'"
S2137047,42,Canada,Female,Canada,PTMPHEALTH2P,3,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11076 Maternal, Newborn and Child Health in a Global Context','PUHR11081 Public Policy for Health','PUHR11083 Public health approaches to declining health, dying and bereavement','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2616047,40,Canada,Female,Canada,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2255213,43,Scotland,Female,United Kingdom,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",
S2601223,28,ETHIOPIA,Female,Eritrea,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2619741,32,Canada,Male,Canada,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2129473,32,Singapore,Female,Singapore,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11083 Public health approaches to declining health, dying and bereavement','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2263625,33,Niger,Male,Niger,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2260005,31,,Male,United Kingdom,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",'GLHE11074 MPH (online) Dissertation'
S2482124,45,Denmark,Female,Denmark,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2257837,32,Trinidad and Tobago,Female,Trinidad & Tobago,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'","'BIME11120 Community Acquired Infections and Public Health','PUHR11074 Integrating public health practice','GLHE11087 Introduction to Global Mental Health','PUHR11076 Maternal, Newborn and Child Health in a Global Context','PUHR11065 Societies, Reproduction and Health'"
S2465751,31,Namibia,Female,Namibia,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",
S2465392,56,Scotland,Male,United Kingdom,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",
S2563313,23,United States of America,Female,United Kingdom,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2607311,27,Nigeria,Female,Nigeria,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2446444,26,GHANA,Male,Ghana,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2612171,29,Nigeria,Male,Nigeria,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S1938113,32,Qatar,Male,Syria [Syrian Arab Republic],PTMPHEALTH2P,3,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology','PUHR11069 Systematic Reviews'",'GLHE11074 MPH (online) Dissertation'
S2594532,29,SIERRA LEONE,Female,Sierra Leone,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2591605,32,Ghana,Male,Cameroon,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2273010,31,England,Female,Lebanon,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",'GLHE11074 MPH (online) Dissertation'
S2138482,31,Canada,Female,Canada,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','GLHE11080 Migration and Health','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S1437750,27,Switzerland,Male,Czech Republic,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S9253303,49,Scotland,Female,United Kingdom,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11076 Maternal, Newborn and Child Health in a Global Context','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11083 Public health approaches to declining health, dying and bereavement','PUHR11080 Research Design for Public and Global Health'","'PUHR11074 Integrating public health practice','GLHE11087 Introduction to Global Mental Health','PUHR11079 Leadership and Management in Public Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11065 Societies, Reproduction and Health'"
S1942371,29,UNITED ARAB EMIRATES,Female,Pakistan,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2267186,34,Malaysia,Male,Malaysia,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology','PUHR11069 Systematic Reviews'",
S2590930,29,Afghanistan,Male,Afghanistan,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2409421,38,United States of America,Female,United States,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",
S2443552,37,Rwanda,Female,Kenya,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",
S2138407,27,England,Male,United Kingdom,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11076 Maternal, Newborn and Child Health in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",'GLHE11074 MPH (online) Dissertation'
S2613518,32,Malaysia,Female,Malaysia,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2604709,35,India,Male,India,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2272559,44,Taiwan,Female,Taiwan ROC,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11083 Public health approaches to declining health, dying and bereavement','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health'",
S2124553,30,Kenya,Male,Kenya,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",'GLHE11074 MPH (online) Dissertation'
S2265255,38,,Female,India,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11088 Qualitative interviewing and data analysis for public health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",'GLHE11074 MPH (online) Dissertation'
S2458967,24,Germany,Female,Ukraine,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",
S2268270,51,England,Male,United Kingdom,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','GLHE11080 Migration and Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2594088,32,Malawi,Male,Malawi,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2464790,51,Scotland,Female,United Kingdom,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11076 Maternal, Newborn and Child Health in a Global Context','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",
S2134937,35,United States of America,Male,United States,PTMPHEALTH2P,3,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','GLHE11080 Migration and Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",'GLHE11074 MPH (online) Dissertation'
S2272392,34,Malaysia,Female,Malaysia,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11076 Maternal, Newborn and Child Health in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11069 Systematic Reviews'",'GLHE11074 MPH (online) Dissertation'
S2461998,56,Denmark,Female,Denmark,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",
S2463882,41,Australia,Female,United Kingdom,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",
S2613576,35,Botswana,Female,Botswana,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2521055,29,PAKISTAN,Female,Pakistan,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2255261,26,Canada,Female,"Tanzania [Tanzania, United Republic of]",PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11083 Public health approaches to declining health, dying and bereavement','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2126330,27,UGANDA,Male,Uganda,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','GLHE11065 Noncommunicable Disease in a Global Context','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2607392,45,Japan,Female,Japan,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2442093,47,"Italy, includes Sardinia, Sicily",Female,"Italy (includes Sardinia, Sicily)",PTMPHEALTH2P,1,Fully matriculated,,,,
S2618178,27,SOUTH AFRICA,Male,South Africa,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2464772,26,Ireland,Male,Ireland,PTMPHEALTH2P,1,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",
S1129877,30,Scotland,Female,United Kingdom,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S0340986,45,Scotland,Male,United Kingdom,PTMPHEALTH2P,3,Successfully achieved an award,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2558933,37,KENYA,Female,Kenya,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
S2264648,32,Eswatini,Female,Eswatini (formerly Swaziland),PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','PUHR11067 Intermediate Epidemiology','GLHE11017 Introduction to Qualitative Research Methods','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health','PUHR11064 Statistical Modelling for Epidemiology'",'GLHE11074 MPH (online) Dissertation'
S2258282,27,England,Female,United Kingdom,PTMPHEALTH2P,2,Fully matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','PUHR11073 Fundamentals of Health Economics','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health'","'PUHR11063 Data Analysis for Epidemiology','VESC11224 Innovative Approaches to Health Challenges Across Disciplines','GLHE11017 Introduction to Qualitative Research Methods','PUHR11079 Leadership and Management in Public Health','PUHR11081 Public Policy for Health','PUHR11080 Research Design for Public and Global Health'",'GLHE11074 MPH (online) Dissertation'
S2617390,31,Malaysia,Male,Malaysia,PTMPHEALTH2P,1,New entrant not yet matriculated,,"'PUHR11068 Epidemiology for Public Health Practice','GLHE11063 Introduction to Epidemiology and Statistics','PUHR11058 Introduction to Health Promotion','PUHR11082 Introduction to Public Health','PUHR11081 Public Policy for Health'",,
